CAISO 15-Minute Real-Time Locational Marginal Prices ($/megawatt) for Zones
15-minute real-time locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2020-08-04 07:15:00,2020-08-04 00:00:00,2020-08-04 00:15:00,2020-08-04,1,27.13047,27.46059,27.17174,0.0,0.0,0.0,27.51011,27.51011,27.51011,-0.37964,-0.04952,-0.33837
2020-08-04 07:30:00,2020-08-04 00:15:00,2020-08-04 00:30:00,2020-08-04,1,20.33797,20.33797,20.33797,0.0,0.0,0.0,20.33797,20.33797,20.33797,0.0,0.0,0.0
2020-08-04 07:45:00,2020-08-04 00:30:00,2020-08-04 00:45:00,2020-08-04,1,20.13333,20.35343,20.12925,0.0,0.0,0.0,20.37993,20.37993,20.37993,-0.2466,-0.02649,-0.25067
2020-08-04 08:00:00,2020-08-04 00:45:00,2020-08-04 01:00:00,2020-08-04,1,17.06032,17.30055,17.06204,0.0,0.0,0.0,17.28327,17.28327,17.28327,-0.22295,0.01728,-0.22123
2020-08-04 08:15:00,2020-08-04 01:00:00,2020-08-04 01:15:00,2020-08-04,2,25.77068,26.17013,25.83073,0.0,0.0,0.0,26.10747,26.10747,26.10747,-0.33679,0.06266,-0.27674
2020-08-04 08:30:00,2020-08-04 01:15:00,2020-08-04 01:30:00,2020-08-04,2,23.73855,24.17445,23.83488,0.0,0.0,0.0,24.08293,24.08293,24.08293,-0.34439,0.09152,-0.24805
2020-08-04 08:45:00,2020-08-04 01:30:00,2020-08-04 01:45:00,2020-08-04,2,22.19933,22.41229,22.16123,0.0,0.0,0.0,22.41678,22.41678,22.41678,-0.21744,-0.00448,-0.25555
2020-08-04 09:00:00,2020-08-04 01:45:00,2020-08-04 02:00:00,2020-08-04,2,16.94091,17.07568,16.86586,0.0,0.0,0.0,17.05862,17.05862,17.05862,-0.1177,0.01706,-0.19276
2020-08-04 09:15:00,2020-08-04 02:00:00,2020-08-04 02:15:00,2020-08-04,3,21.88776,22.0773,21.83266,0.0,0.0,0.0,22.03984,22.03984,22.03984,-0.15207,0.03747,-0.20717
2020-08-04 09:30:00,2020-08-04 02:15:00,2020-08-04 02:30:00,2020-08-04,3,20.28455,20.45817,20.23145,0.0,0.0,0.0,20.42549,20.42549,20.42549,-0.14094,0.03268,-0.19404
2020-08-04 09:45:00,2020-08-04 02:30:00,2020-08-04 02:45:00,2020-08-04,3,20.2746,20.41329,20.21546,0.0,0.0,0.0,20.39493,20.39493,20.39493,-0.12033,0.01836,-0.17948
