ISONE Hourly Real-Time Locational Marginal Prices ($/megawatt) for Hubs
Hourly real-time locational marginal prices for ISO-NE
Source: EIA collected from ISONE
UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Internal Hub LMP,Internal Hub (Congestion),Internal Hub (Energy),Internal Hub (Loss)
2022-01-01 06:00:00,2022-01-01 00:00:00,2022-01-01 01:00:00,2022-01-01,1,25.9,0.0,25.95,-0.05
2022-01-01 07:00:00,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01,2,25.87,0.0,25.87,0.0
2022-01-01 08:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01,3,27.51,0.0,27.5,0.01
2022-01-01 09:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01,4,25.14,0.0,25.13,0.01
2022-01-01 10:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01,5,29.28,0.0,29.27,0.01
2022-01-01 11:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01,6,28.43,0.0,28.41,0.02
2022-01-01 12:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01,7,24.94,0.0,24.92,0.02
2022-01-01 13:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01,8,22.9,0.0,22.9,0.0
2022-01-01 14:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01,9,23.88,0.0,23.89,-0.01
2022-01-01 15:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01,10,22.28,0.0,22.29,-0.01
2022-01-01 16:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01,11,31.02,0.0,31.01,0.01
2022-01-01 17:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01,12,34.56,0.0,34.54,0.02
2022-01-01 18:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01,13,32.98,0.0,32.95,0.03
2022-01-01 19:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01,14,33.23,0.0,33.22,0.01
2022-01-01 20:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01,15,32.4,0.0,32.38,0.02
2022-01-01 21:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01,16,31.32,0.0,31.28,0.04
2022-01-01 22:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01,17,38.94,0.0,38.9,0.04
2022-01-01 23:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01,18,41.89,0.0,41.88,0.01
2022-01-02 00:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01,19,37.3,0.0,37.27,0.03
2022-01-02 01:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01,20,33.45,0.0,33.41,0.04
2022-01-02 02:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01,21,31.44,0.0,31.42,0.02
2022-01-02 03:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01,22,30.85,0.0,30.84,0.01
2022-01-02 04:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-01,23,27.92,0.0,27.92,0.0
2022-01-02 05:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,2022-01-01,24,24.93,0.0,24.94,-0.01
2022-01-02 06:00:00,2022-01-02 00:00:00,2022-01-02 01:00:00,2022-01-02,1,18.32,0.0,18.34,-0.02
2022-01-02 07:00:00,2022-01-02 01:00:00,2022-01-02 02:00:00,2022-01-02,2,18.78,0.0,18.81,-0.03
2022-01-02 08:00:00,2022-01-02 02:00:00,2022-01-02 03:00:00,2022-01-02,3,-3.6,0.0,-3.61,0.01
2022-01-02 09:00:00,2022-01-02 03:00:00,2022-01-02 04:00:00,2022-01-02,4,18.89,0.0,18.94,-0.05
2022-01-02 10:00:00,2022-01-02 04:00:00,2022-01-02 05:00:00,2022-01-02,5,19.77,0.0,19.81,-0.04
2022-01-02 11:00:00,2022-01-02 05:00:00,2022-01-02 06:00:00,2022-01-02,6,22.65,0.0,22.7,-0.05
2022-01-02 12:00:00,2022-01-02 06:00:00,2022-01-02 07:00:00,2022-01-02,7,25.78,0.0,25.84,-0.06
2022-01-02 13:00:00,2022-01-02 07:00:00,2022-01-02 08:00:00,2022-01-02,8,28.21,0.0,28.25,-0.04
2022-01-02 14:00:00,2022-01-02 08:00:00,2022-01-02 09:00:00,2022-01-02,9,30.42,0.0,30.47,-0.05
2022-01-02 15:00:00,2022-01-02 09:00:00,2022-01-02 10:00:00,2022-01-02,10,31.64,0.0,31.67,-0.03
2022-01-02 16:00:00,2022-01-02 10:00:00,2022-01-02 11:00:00,2022-01-02,11,41.84,0.0,41.85,-0.01
2022-01-02 17:00:00,2022-01-02 11:00:00,2022-01-02 12:00:00,2022-01-02,12,47.04,0.0,47.03,0.01
2022-01-02 18:00:00,2022-01-02 12:00:00,2022-01-02 13:00:00,2022-01-02,13,64.82,0.0,64.78,0.04
2022-01-02 19:00:00,2022-01-02 13:00:00,2022-01-02 14:00:00,2022-01-02,14,61.2,0.0,61.15,0.05
2022-01-02 20:00:00,2022-01-02 14:00:00,2022-01-02 15:00:00,2022-01-02,15,64.29,0.0,64.26,0.03
2022-01-02 21:00:00,2022-01-02 15:00:00,2022-01-02 16:00:00,2022-01-02,16,56.42,0.0,56.43,-0.01
2022-01-02 22:00:00,2022-01-02 16:00:00,2022-01-02 17:00:00,2022-01-02,17,86.3,0.0,86.26,0.04
2022-01-02 23:00:00,2022-01-02 17:00:00,2022-01-02 18:00:00,2022-01-02,18,137.7,0.0,137.62,0.08
2022-01-03 00:00:00,2022-01-02 18:00:00,2022-01-02 19:00:00,2022-01-02,19,116.92,0.0,116.75,0.17
2022-01-03 01:00:00,2022-01-02 19:00:00,2022-01-02 20:00:00,2022-01-02,20,65.5,0.0,65.35,0.15
2022-01-03 02:00:00,2022-01-02 20:00:00,2022-01-02 21:00:00,2022-01-02,21,45.54,0.0,45.38,0.16
2022-01-03 03:00:00,2022-01-02 21:00:00,2022-01-02 22:00:00,2022-01-02,22,41.9,0.0,41.72,0.18
2022-01-03 04:00:00,2022-01-02 22:00:00,2022-01-02 23:00:00,2022-01-02,23,40.71,0.0,40.54,0.17
2022-01-03 05:00:00,2022-01-02 23:00:00,2022-01-03 00:00:00,2022-01-02,24,35.5,0.0,35.36,0.14
2022-01-03 06:00:00,2022-01-03 00:00:00,2022-01-03 01:00:00,2022-01-03,1,34.04,0.0,33.92,0.12
2022-01-03 07:00:00,2022-01-03 01:00:00,2022-01-03 02:00:00,2022-01-03,2,15.44,0.0,15.39,0.05
2022-01-03 08:00:00,2022-01-03 02:00:00,2022-01-03 03:00:00,2022-01-03,3,5.33,0.0,5.32,0.01
2022-01-03 09:00:00,2022-01-03 03:00:00,2022-01-03 04:00:00,2022-01-03,4,30.7,0.0,30.62,0.08
2022-01-03 10:00:00,2022-01-03 04:00:00,2022-01-03 05:00:00,2022-01-03,5,20.9,0.0,20.87,0.03
2022-01-03 11:00:00,2022-01-03 05:00:00,2022-01-03 06:00:00,2022-01-03,6,14.43,0.0,14.43,0.0
2022-01-03 12:00:00,2022-01-03 06:00:00,2022-01-03 07:00:00,2022-01-03,7,29.81,0.0,29.81,0.0
2022-01-03 14:00:00,2022-01-03 08:00:00,2022-01-03 09:00:00,2022-01-03,9,41.89,0.0,41.89,0.0
2022-01-03 15:00:00,2022-01-03 09:00:00,2022-01-03 10:00:00,2022-01-03,10,52.7,0.0,52.71,-0.01
2022-01-03 16:00:00,2022-01-03 10:00:00,2022-01-03 11:00:00,2022-01-03,11,101.53,0.0,101.64,-0.11
2022-01-03 17:00:00,2022-01-03 11:00:00,2022-01-03 12:00:00,2022-01-03,12,128.87,0.0,129.02,-0.15
2022-01-03 18:00:00,2022-01-03 12:00:00,2022-01-03 13:00:00,2022-01-03,13,172.25,0.0,172.37,-0.12
2022-01-03 19:00:00,2022-01-03 13:00:00,2022-01-03 14:00:00,2022-01-03,14,179.58,0.0,179.57,0.01
2022-01-03 20:00:00,2022-01-03 14:00:00,2022-01-03 15:00:00,2022-01-03,15,164.23,0.0,164.17,0.06
2022-01-03 21:00:00,2022-01-03 15:00:00,2022-01-03 16:00:00,2022-01-03,16,142.08,0.0,141.87,0.21
2022-01-03 22:00:00,2022-01-03 16:00:00,2022-01-03 17:00:00,2022-01-03,17,160.4,0.0,159.95,0.45
2022-01-03 23:00:00,2022-01-03 17:00:00,2022-01-03 18:00:00,2022-01-03,18,192.53,0.0,192.11,0.42
2022-01-04 00:00:00,2022-01-03 18:00:00,2022-01-03 19:00:00,2022-01-03,19,176.45,0.0,175.91,0.54
2022-01-04 01:00:00,2022-01-03 19:00:00,2022-01-03 20:00:00,2022-01-03,20,155.63,0.0,155.1,0.53
2022-01-04 02:00:00,2022-01-03 20:00:00,2022-01-03 21:00:00,2022-01-03,21,130.25,0.0,129.68,0.57
2022-01-04 03:00:00,2022-01-03 21:00:00,2022-01-03 22:00:00,2022-01-03,22,100.19,0.0,99.86,0.33
2022-01-04 04:00:00,2022-01-03 22:00:00,2022-01-03 23:00:00,2022-01-03,23,130.41,0.0,130.01,0.4
