ISONE Hourly Real-Time Locational Marginal Prices ($/megawatt) for Hubs
Hourly real-time locational marginal prices for ISO-NE
Source: EIA collected from ISONE
UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Internal Hub LMP,Internal Hub (Congestion),Internal Hub (Energy),Internal Hub (Loss)
2022-01-04 05:00:00,2022-01-03 23:00:00,2022-01-04 00:00:00,2022-01-03,24,96.04,0.0,95.63,0.41
2022-01-04 06:00:00,2022-01-04 00:00:00,2022-01-04 01:00:00,2022-01-04,1,122.3,0.0,121.76,0.54
2022-01-04 07:00:00,2022-01-04 01:00:00,2022-01-04 02:00:00,2022-01-04,2,112.34,0.0,111.94,0.4
2022-01-04 08:00:00,2022-01-04 02:00:00,2022-01-04 03:00:00,2022-01-04,3,110.37,0.0,110.01,0.36
2022-01-04 09:00:00,2022-01-04 03:00:00,2022-01-04 04:00:00,2022-01-04,4,103.96,0.0,103.63,0.33
2022-01-04 10:00:00,2022-01-04 04:00:00,2022-01-04 05:00:00,2022-01-04,5,136.59,0.0,136.05,0.54
2022-01-04 11:00:00,2022-01-04 05:00:00,2022-01-04 06:00:00,2022-01-04,6,135.69,0.0,135.18,0.51
2022-01-04 12:00:00,2022-01-04 06:00:00,2022-01-04 07:00:00,2022-01-04,7,179.75,0.0,179.1,0.65
2022-01-04 13:00:00,2022-01-04 07:00:00,2022-01-04 08:00:00,2022-01-04,8,243.49,0.0,242.71,0.78
2022-01-04 14:00:00,2022-01-04 08:00:00,2022-01-04 09:00:00,2022-01-04,9,200.35,0.0,199.95,0.4
2022-01-04 15:00:00,2022-01-04 09:00:00,2022-01-04 10:00:00,2022-01-04,10,126.06,0.0,126.02,0.04
2022-01-04 16:00:00,2022-01-04 10:00:00,2022-01-04 11:00:00,2022-01-04,11,89.99,0.0,90.17,-0.18
2022-01-04 17:00:00,2022-01-04 11:00:00,2022-01-04 12:00:00,2022-01-04,12,86.34,0.0,86.68,-0.34
2022-01-04 18:00:00,2022-01-04 12:00:00,2022-01-04 13:00:00,2022-01-04,13,78.71,0.0,79.11,-0.4
2022-01-04 19:00:00,2022-01-04 13:00:00,2022-01-04 14:00:00,2022-01-04,14,78.98,0.0,79.4,-0.42
2022-01-04 20:00:00,2022-01-04 14:00:00,2022-01-04 15:00:00,2022-01-04,15,87.97,0.0,88.31,-0.34
2022-01-04 21:00:00,2022-01-04 15:00:00,2022-01-04 16:00:00,2022-01-04,16,118.1,0.0,118.16,-0.06
2022-01-04 22:00:00,2022-01-04 16:00:00,2022-01-04 17:00:00,2022-01-04,17,216.38,0.0,216.06,0.32
2022-01-05 00:00:00,2022-01-04 18:00:00,2022-01-04 19:00:00,2022-01-04,19,211.47,0.0,210.84,0.63
2022-01-05 01:00:00,2022-01-04 19:00:00,2022-01-04 20:00:00,2022-01-04,20,186.43,0.0,185.7,0.73
2022-01-05 02:00:00,2022-01-04 20:00:00,2022-01-04 21:00:00,2022-01-04,21,162.84,0.0,162.08,0.76
2022-01-05 03:00:00,2022-01-04 21:00:00,2022-01-04 22:00:00,2022-01-04,22,155.04,0.0,154.52,0.52
2022-01-05 04:00:00,2022-01-04 22:00:00,2022-01-04 23:00:00,2022-01-04,23,111.23,0.0,111.0,0.23
2022-01-05 05:00:00,2022-01-04 23:00:00,2022-01-05 00:00:00,2022-01-04,24,129.51,0.04,129.25,0.22
2022-01-05 06:00:00,2022-01-05 00:00:00,2022-01-05 01:00:00,2022-01-05,1,141.02,0.21,140.46,0.35
2022-01-05 07:00:00,2022-01-05 01:00:00,2022-01-05 02:00:00,2022-01-05,2,126.09,0.19,125.59,0.31
2022-01-05 08:00:00,2022-01-05 02:00:00,2022-01-05 03:00:00,2022-01-05,3,122.13,0.19,121.64,0.3
2022-01-05 09:00:00,2022-01-05 03:00:00,2022-01-05 04:00:00,2022-01-05,4,110.32,0.17,109.84,0.31
2022-01-05 10:00:00,2022-01-05 04:00:00,2022-01-05 05:00:00,2022-01-05,5,125.36,0.2,124.75,0.41
2022-01-05 11:00:00,2022-01-05 05:00:00,2022-01-05 06:00:00,2022-01-05,6,123.19,0.23,122.4,0.56
2022-01-05 12:00:00,2022-01-05 06:00:00,2022-01-05 07:00:00,2022-01-05,7,143.76,0.32,142.61,0.83
2022-01-05 13:00:00,2022-01-05 07:00:00,2022-01-05 08:00:00,2022-01-05,8,127.89,0.35,126.71,0.83
2022-01-05 14:00:00,2022-01-05 08:00:00,2022-01-05 09:00:00,2022-01-05,9,147.25,0.43,145.86,0.96
2022-01-05 15:00:00,2022-01-05 09:00:00,2022-01-05 10:00:00,2022-01-05,10,144.81,0.43,143.47,0.91
2022-01-05 16:00:00,2022-01-05 10:00:00,2022-01-05 11:00:00,2022-01-05,11,72.38,0.01,72.04,0.33
2022-01-05 17:00:00,2022-01-05 11:00:00,2022-01-05 12:00:00,2022-01-05,12,72.78,0.11,72.39,0.28
2022-01-05 18:00:00,2022-01-05 12:00:00,2022-01-05 13:00:00,2022-01-05,13,80.24,0.15,79.75,0.34
2022-01-05 19:00:00,2022-01-05 13:00:00,2022-01-05 14:00:00,2022-01-05,14,79.51,0.14,79.02,0.35
2022-01-05 20:00:00,2022-01-05 14:00:00,2022-01-05 15:00:00,2022-01-05,15,63.49,0.1,63.06,0.33
2022-01-05 21:00:00,2022-01-05 15:00:00,2022-01-05 16:00:00,2022-01-05,16,62.47,0.11,62.03,0.33
2022-01-05 23:00:00,2022-01-05 17:00:00,2022-01-05 18:00:00,2022-01-05,18,79.13,0.13,78.51,0.49
2022-01-06 00:00:00,2022-01-05 18:00:00,2022-01-05 19:00:00,2022-01-05,19,69.94,0.09,69.42,0.43
2022-01-06 01:00:00,2022-01-05 19:00:00,2022-01-05 20:00:00,2022-01-05,20,57.68,0.07,57.26,0.35
2022-01-06 02:00:00,2022-01-05 20:00:00,2022-01-05 21:00:00,2022-01-05,21,56.44,0.09,56.05,0.3
2022-01-06 03:00:00,2022-01-05 21:00:00,2022-01-05 22:00:00,2022-01-05,22,59.18,0.01,58.88,0.29
2022-01-06 04:00:00,2022-01-05 22:00:00,2022-01-05 23:00:00,2022-01-05,23,86.68,0.0,86.29,0.39
2022-01-06 05:00:00,2022-01-05 23:00:00,2022-01-06 00:00:00,2022-01-05,24,93.87,0.0,93.47,0.4
2022-01-06 07:00:00,2022-01-06 01:00:00,2022-01-06 02:00:00,2022-01-06,2,37.25,0.0,37.07,0.18
2022-01-06 08:00:00,2022-01-06 02:00:00,2022-01-06 03:00:00,2022-01-06,3,38.54,0.0,38.38,0.16
2022-01-06 09:00:00,2022-01-06 03:00:00,2022-01-06 04:00:00,2022-01-06,4,37.98,0.0,37.84,0.14
2022-01-06 10:00:00,2022-01-06 04:00:00,2022-01-06 05:00:00,2022-01-06,5,41.62,0.0,41.47,0.15
2022-01-06 11:00:00,2022-01-06 05:00:00,2022-01-06 06:00:00,2022-01-06,6,54.39,0.03,54.16,0.2
2022-01-06 12:00:00,2022-01-06 06:00:00,2022-01-06 07:00:00,2022-01-06,7,56.59,0.04,56.38,0.17
2022-01-06 13:00:00,2022-01-06 07:00:00,2022-01-06 08:00:00,2022-01-06,8,84.84,0.09,84.55,0.2
2022-01-06 14:00:00,2022-01-06 08:00:00,2022-01-06 09:00:00,2022-01-06,9,53.23,0.03,53.06,0.14
2022-01-06 15:00:00,2022-01-06 09:00:00,2022-01-06 10:00:00,2022-01-06,10,40.61,0.01,40.53,0.07
2022-01-06 16:00:00,2022-01-06 10:00:00,2022-01-06 11:00:00,2022-01-06,11,77.02,0.01,76.99,0.02
2022-01-06 17:00:00,2022-01-06 11:00:00,2022-01-06 12:00:00,2022-01-06,12,82.32,0.07,82.25,0.0
2022-01-06 18:00:00,2022-01-06 12:00:00,2022-01-06 13:00:00,2022-01-06,13,87.09,0.08,86.89,0.12
2022-01-06 19:00:00,2022-01-06 13:00:00,2022-01-06 14:00:00,2022-01-06,14,76.96,0.01,76.79,0.16
2022-01-06 20:00:00,2022-01-06 14:00:00,2022-01-06 15:00:00,2022-01-06,15,77.67,0.01,77.5,0.16
2022-01-06 21:00:00,2022-01-06 15:00:00,2022-01-06 16:00:00,2022-01-06,16,93.91,0.0,93.67,0.24
2022-01-06 22:00:00,2022-01-06 16:00:00,2022-01-06 17:00:00,2022-01-06,17,121.61,0.0,121.2,0.41
2022-01-06 23:00:00,2022-01-06 17:00:00,2022-01-06 18:00:00,2022-01-06,18,198.39,0.0,197.67,0.72
2022-01-07 00:00:00,2022-01-06 18:00:00,2022-01-06 19:00:00,2022-01-06,19,164.39,0.0,163.85,0.54
2022-01-07 01:00:00,2022-01-06 19:00:00,2022-01-06 20:00:00,2022-01-06,20,113.03,0.0,112.61,0.42
2022-01-07 02:00:00,2022-01-06 20:00:00,2022-01-06 21:00:00,2022-01-06,21,94.04,0.0,93.7,0.34
2022-01-07 03:00:00,2022-01-06 21:00:00,2022-01-06 22:00:00,2022-01-06,22,85.34,0.0,85.01,0.33
2022-01-07 04:00:00,2022-01-06 22:00:00,2022-01-06 23:00:00,2022-01-06,23,77.29,0.0,77.03,0.26
2022-01-07 05:00:00,2022-01-06 23:00:00,2022-01-07 00:00:00,2022-01-06,24,75.88,0.0,75.72,0.16
2022-01-07 06:00:00,2022-01-07 00:00:00,2022-01-07 01:00:00,2022-01-07,1,77.89,0.0,77.81,0.08
2022-01-07 07:00:00,2022-01-07 01:00:00,2022-01-07 02:00:00,2022-01-07,2,84.4,0.0,84.35,0.05
2022-01-07 08:00:00,2022-01-07 02:00:00,2022-01-07 03:00:00,2022-01-07,3,83.39,0.0,83.35,0.04
2022-01-07 09:00:00,2022-01-07 03:00:00,2022-01-07 04:00:00,2022-01-07,4,86.32,0.0,86.29,0.03
2022-01-07 10:00:00,2022-01-07 04:00:00,2022-01-07 05:00:00,2022-01-07,5,71.08,0.0,71.05,0.03
2022-01-07 11:00:00,2022-01-07 05:00:00,2022-01-07 06:00:00,2022-01-07,6,70.45,0.0,70.33,0.12
2022-01-07 12:00:00,2022-01-07 06:00:00,2022-01-07 07:00:00,2022-01-07,7,72.68,0.0,72.49,0.19
2022-01-07 13:00:00,2022-01-07 07:00:00,2022-01-07 08:00:00,2022-01-07,8,92.37,0.0,92.14,0.23
2022-01-07 14:00:00,2022-01-07 08:00:00,2022-01-07 09:00:00,2022-01-07,9,150.93,0.0,150.7,0.23
2022-01-07 15:00:00,2022-01-07 09:00:00,2022-01-07 10:00:00,2022-01-07,10,179.37,0.0,179.02,0.35
2022-01-07 16:00:00,2022-01-07 10:00:00,2022-01-07 11:00:00,2022-01-07,11,223.2,0.0,222.77,0.43
2022-01-07 18:00:00,2022-01-07 12:00:00,2022-01-07 13:00:00,2022-01-07,13,244.96,0.01,243.95,1.0
2022-01-07 19:00:00,2022-01-07 13:00:00,2022-01-07 14:00:00,2022-01-07,14,209.72,0.09,208.57,1.06
2022-01-07 20:00:00,2022-01-07 14:00:00,2022-01-07 15:00:00,2022-01-07,15,174.14,0.2,172.85,1.09
2022-01-07 21:00:00,2022-01-07 15:00:00,2022-01-07 16:00:00,2022-01-07,16,161.63,0.22,160.31,1.1
2022-01-07 22:00:00,2022-01-07 16:00:00,2022-01-07 17:00:00,2022-01-07,17,164.96,0.24,163.44,1.28
2022-01-07 23:00:00,2022-01-07 17:00:00,2022-01-07 18:00:00,2022-01-07,18,272.55,0.41,269.79,2.35
2022-01-08 00:00:00,2022-01-07 18:00:00,2022-01-07 19:00:00,2022-01-07,19,196.62,0.33,194.61,1.68
2022-01-08 01:00:00,2022-01-07 19:00:00,2022-01-07 20:00:00,2022-01-07,20,151.73,0.27,150.06,1.4
2022-01-08 02:00:00,2022-01-07 20:00:00,2022-01-07 21:00:00,2022-01-07,21,139.76,0.27,138.27,1.22
2022-01-08 03:00:00,2022-01-07 21:00:00,2022-01-07 22:00:00,2022-01-07,22,131.84,0.27,130.47,1.1
2022-01-08 04:00:00,2022-01-07 22:00:00,2022-01-07 23:00:00,2022-01-07,23,125.56,0.31,124.22,1.03
2022-01-08 05:00:00,2022-01-07 23:00:00,2022-01-08 00:00:00,2022-01-07,24,127.59,0.33,126.23,1.03
2022-01-08 06:00:00,2022-01-08 00:00:00,2022-01-08 01:00:00,2022-01-08,1,139.1,2.05,135.81,1.24
2022-01-08 07:00:00,2022-01-08 01:00:00,2022-01-08 02:00:00,2022-01-08,2,115.11,1.25,112.81,1.05
2022-01-08 08:00:00,2022-01-08 02:00:00,2022-01-08 03:00:00,2022-01-08,3,117.18,1.58,114.57,1.03
2022-01-08 09:00:00,2022-01-08 03:00:00,2022-01-08 04:00:00,2022-01-08,4,114.68,0.31,113.37,1.0
2022-01-08 10:00:00,2022-01-08 04:00:00,2022-01-08 05:00:00,2022-01-08,5,116.99,0.14,115.89,0.96
2022-01-08 11:00:00,2022-01-08 05:00:00,2022-01-08 06:00:00,2022-01-08,6,137.15,0.23,135.78,1.14
2022-01-08 12:00:00,2022-01-08 06:00:00,2022-01-08 07:00:00,2022-01-08,7,137.29,0.18,135.96,1.15
2022-01-08 13:00:00,2022-01-08 07:00:00,2022-01-08 08:00:00,2022-01-08,8,150.68,0.0,149.58,1.1
2022-01-08 14:00:00,2022-01-08 08:00:00,2022-01-08 09:00:00,2022-01-08,9,172.06,0.0,171.13,0.93
2022-01-08 15:00:00,2022-01-08 09:00:00,2022-01-08 10:00:00,2022-01-08,10,209.84,0.0,208.7,1.14
2022-01-08 16:00:00,2022-01-08 10:00:00,2022-01-08 11:00:00,2022-01-08,11,228.14,0.0,227.06,1.08
2022-01-08 17:00:00,2022-01-08 11:00:00,2022-01-08 12:00:00,2022-01-08,12,240.28,0.0,239.15,1.13
2022-01-08 18:00:00,2022-01-08 12:00:00,2022-01-08 13:00:00,2022-01-08,13,214.66,0.0,213.77,0.89
2022-01-08 19:00:00,2022-01-08 13:00:00,2022-01-08 14:00:00,2022-01-08,14,134.52,0.0,133.91,0.61
2022-01-08 20:00:00,2022-01-08 14:00:00,2022-01-08 15:00:00,2022-01-08,15,136.58,0.0,135.93,0.65
2022-01-08 21:00:00,2022-01-08 15:00:00,2022-01-08 16:00:00,2022-01-08,16,171.22,0.0,170.46,0.76
2022-01-08 22:00:00,2022-01-08 16:00:00,2022-01-08 17:00:00,2022-01-08,17,237.55,0.0,236.65,0.9
2022-01-08 23:00:00,2022-01-08 17:00:00,2022-01-08 18:00:00,2022-01-08,18,255.17,0.0,254.06,1.11
2022-01-09 00:00:00,2022-01-08 18:00:00,2022-01-08 19:00:00,2022-01-08,19,233.57,0.0,232.49,1.08
2022-01-09 01:00:00,2022-01-08 19:00:00,2022-01-08 20:00:00,2022-01-08,20,227.25,0.0,226.37,0.88
2022-01-09 02:00:00,2022-01-08 20:00:00,2022-01-08 21:00:00,2022-01-08,21,178.15,0.0,177.28,0.87
2022-01-09 03:00:00,2022-01-08 21:00:00,2022-01-08 22:00:00,2022-01-08,22,146.41,0.0,145.61,0.8
2022-01-09 04:00:00,2022-01-08 22:00:00,2022-01-08 23:00:00,2022-01-08,23,126.82,0.13,126.04,0.65
2022-01-09 05:00:00,2022-01-08 23:00:00,2022-01-09 00:00:00,2022-01-08,24,113.36,0.11,112.59,0.66
2022-01-09 06:00:00,2022-01-09 00:00:00,2022-01-09 01:00:00,2022-01-09,1,121.31,0.05,120.55,0.71
2022-01-09 07:00:00,2022-01-09 01:00:00,2022-01-09 02:00:00,2022-01-09,2,113.4,0.03,112.7,0.67
2022-01-09 08:00:00,2022-01-09 02:00:00,2022-01-09 03:00:00,2022-01-09,3,128.3,0.06,127.48,0.76
2022-01-09 09:00:00,2022-01-09 03:00:00,2022-01-09 04:00:00,2022-01-09,4,121.86,0.05,120.98,0.83
2022-01-09 10:00:00,2022-01-09 04:00:00,2022-01-09 05:00:00,2022-01-09,5,131.04,0.06,130.09,0.89
2022-01-09 11:00:00,2022-01-09 05:00:00,2022-01-09 06:00:00,2022-01-09,6,127.54,0.06,126.61,0.87
2022-01-09 12:00:00,2022-01-09 06:00:00,2022-01-09 07:00:00,2022-01-09,7,121.38,0.05,120.5,0.83
2022-01-09 13:00:00,2022-01-09 07:00:00,2022-01-09 08:00:00,2022-01-09,8,112.28,0.02,111.48,0.78
2022-01-09 14:00:00,2022-01-09 08:00:00,2022-01-09 09:00:00,2022-01-09,9,128.16,0.05,127.25,0.86
2022-01-09 16:00:00,2022-01-09 10:00:00,2022-01-09 11:00:00,2022-01-09,11,141.6,0.07,140.52,1.01
2022-01-09 17:00:00,2022-01-09 11:00:00,2022-01-09 12:00:00,2022-01-09,12,159.11,0.1,157.92,1.09
2022-01-09 18:00:00,2022-01-09 12:00:00,2022-01-09 13:00:00,2022-01-09,13,129.7,0.01,128.76,0.93
2022-01-09 19:00:00,2022-01-09 13:00:00,2022-01-09 14:00:00,2022-01-09,14,126.77,0.08,125.73,0.96
2022-01-09 20:00:00,2022-01-09 14:00:00,2022-01-09 15:00:00,2022-01-09,15,117.3,0.16,116.18,0.96
2022-01-09 21:00:00,2022-01-09 15:00:00,2022-01-09 16:00:00,2022-01-09,16,119.5,0.12,118.36,1.02
2022-01-09 22:00:00,2022-01-09 16:00:00,2022-01-09 17:00:00,2022-01-09,17,120.61,0.11,119.4,1.1
2022-01-09 23:00:00,2022-01-09 17:00:00,2022-01-09 18:00:00,2022-01-09,18,124.62,0.0,123.52,1.1
2022-01-10 00:00:00,2022-01-09 18:00:00,2022-01-09 19:00:00,2022-01-09,19,107.02,0.29,105.8,0.93
2022-01-10 01:00:00,2022-01-09 19:00:00,2022-01-09 20:00:00,2022-01-09,20,107.98,0.26,106.85,0.87
2022-01-10 02:00:00,2022-01-09 20:00:00,2022-01-09 21:00:00,2022-01-09,21,101.28,0.0,100.51,0.77
2022-01-10 03:00:00,2022-01-09 21:00:00,2022-01-09 22:00:00,2022-01-09,22,86.17,0.0,85.57,0.6
2022-01-10 04:00:00,2022-01-09 22:00:00,2022-01-09 23:00:00,2022-01-09,23,79.31,1.61,77.1,0.6
2022-01-10 05:00:00,2022-01-09 23:00:00,2022-01-10 00:00:00,2022-01-09,24,56.54,0.73,55.33,0.48
2022-01-10 06:00:00,2022-01-10 00:00:00,2022-01-10 01:00:00,2022-01-10,1,-0.72,0.01,-0.73,0.0
2022-01-10 07:00:00,2022-01-10 01:00:00,2022-01-10 02:00:00,2022-01-10,2,45.66,0.18,45.03,0.45
